2025-05-06 20:25:16,165 INFO    MainThread:2003266 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_setup.py:_flush():67] Configure stats pid to 2003266
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_setup.py:_flush():67] Loading settings from /home/scur2687/.config/wandb/settings
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_setup.py:_flush():67] Loading settings from /gpfs/home5/scur2687/erwin/experiments/wandb/settings
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /gpfs/home5/scur2687/erwin/experiments/wandb/run-20250506_202516-sbkyioys/logs/debug.log
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /gpfs/home5/scur2687/erwin/experiments/wandb/run-20250506_202516-sbkyioys/logs/debug-internal.log
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:init():781] calling init triggers
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'model': 'erwin', 'data_path': '../../nico_directory/shapenet_car_processed', 'size': 'small', 'num_epochs': 0, 'batch_size': 2, 'use_wandb': 1, 'lr': 0.001, 'val_every_iter': 100, 'experiment': 'shapenet', 'test': 0, 'seed': 0, 'knn': 8, 'c_in': 64, 'c_hidden': 64, 'ball_sizes': [256, 256], 'enc_num_heads': [8, 8], 'enc_depths': [6, 6], 'dec_num_heads': [8], 'dec_depths': [6], 'strides': [1], 'rotate': 45, 'mp_steps': 3, '_wandb': {}}
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:init():809] starting backend
2025-05-06 20:25:16,166 INFO    MainThread:2003266 [wandb_init.py:init():813] sending inform_init request
2025-05-06 20:25:16,171 INFO    MainThread:2003266 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-06 20:25:16,171 INFO    MainThread:2003266 [wandb_init.py:init():823] backend started and connected
2025-05-06 20:25:16,176 INFO    MainThread:2003266 [wandb_init.py:init():915] updated telemetry
2025-05-06 20:25:16,230 INFO    MainThread:2003266 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-06 20:25:16,754 INFO    MainThread:2003266 [wandb_init.py:init():1014] starting run threads in backend
2025-05-06 20:25:17,166 INFO    MainThread:2003266 [wandb_run.py:_console_start():2454] atexit reg
2025-05-06 20:25:17,167 INFO    MainThread:2003266 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-06 20:25:17,167 INFO    MainThread:2003266 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-06 20:25:17,167 INFO    MainThread:2003266 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-06 20:25:17,171 INFO    MainThread:2003266 [wandb_init.py:init():1056] run started, returning control to user process
2025-05-06 20:25:17,171 INFO    MainThread:2003266 [wandb_watch.py:_watch():71] Watching
2025-05-06 20:25:17,178 INFO    MainThread:2003266 [wandb_run.py:_config_callback():1327] config_cb None None {'num_parameters': 1270001}
2025-05-06 20:31:06,319 INFO    MsgRouterThr:2003266 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
